timestamp,x,y,z,r,flaps,aux1,aux2,aux3,aux4,aux5,aux6,mode_switch,return_switch,rattitude_switch,posctl_switch,loiter_switch,acro_switch,offboard_switch,kill_switch,arm_switch,transition_switch,gear_switch,mode_slot,data_source,stab_switch,man_switch,armlock_switch
717217459,0.2785043,0.0,0.49325156,-5.8868584e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
717417882,0.30816692,0.0,0.49325156,1.01520185e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
717618143,0.32583576,0.0,0.49325156,6.572102e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
717838028,0.36053437,0.0,0.49325156,7.8849704e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
718038120,0.35078183,0.0,0.49325156,-2.6390659e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
718238434,0.25895485,0.0,0.49325156,0.035489563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
718438666,0.29106423,0.0,0.49325156,0.28519624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
718638718,0.2763932,0.0,0.49325156,0.09215668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
718838940,0.28914803,0.0,0.49325156,0.11645251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
719039135,0.27601275,0.0,0.49325156,0.08251535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
719239450,0.27445674,0.0,0.49325156,0.26470247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
719439620,0.23407024,0.0,0.49325156,0.110922076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
719660000,0.22614464,0.0,0.49325156,0.11156006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
719860270,0.24272157,0.0,0.49325156,0.17209363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
720060354,0.20259081,0.0,0.49325156,0.12546308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
720260683,0.22377974,0.0,0.49325156,0.012402723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
720460801,0.24818742,0.0,0.49325156,-6.086676e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
720661036,0.28648823,0.0,0.49325156,-1.7355505e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
720881073,0.28364828,0.0,0.49325156,3.594364e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
721081101,0.29616663,0.0,0.49325156,1.7996668e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
721281353,0.31823778,0.0,0.49325156,-1.0603396e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
721481660,0.32184827,0.0,0.49325156,-3.8977482e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
721681933,0.32134724,0.0,0.49325156,-5.6063165e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
721881947,0.3413295,0.0,0.49325156,5.9057453e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
722082142,0.3504322,0.0,0.49325156,-5.129337e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
722282494,0.31992042,0.0,0.49325156,-7.2559257e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
722502953,0.32502586,0.0,0.49325156,9.41883e-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
