timestamp,alt_max,landed,freefall,ground_contact,maybe_landed,in_ground_effect
1245496284,inf,0,0,0,0,0
1246510984,inf,0,0,0,0,0
1247512355,inf,0,0,0,0,0
1248520364,inf,0,0,0,0,0
1249528784,inf,0,0,0,0,0
1250537921,inf,0,0,0,0,0
1251544269,inf,0,0,0,0,0
1252045642,inf,0,0,0,0,1
1252150285,inf,0,0,0,0,0
1253168762,inf,0,0,0,0,0
1254183269,inf,0,0,0,0,0
1255187917,inf,0,0,0,0,0
1256208520,inf,0,0,0,0,0
1257225620,inf,0,0,0,0,0
1258226269,inf,0,0,0,0,0
1259244790,inf,0,0,0,0,0
1260266137,inf,0,0,0,0,0
1261268332,inf,0,0,0,0,0
1262273382,inf,0,0,0,0,0
1263276359,inf,0,0,0,0,0
1264276904,inf,0,0,0,0,0
1265297940,inf,0,0,0,0,0
1266310148,inf,0,0,0,0,0
1267310265,inf,0,0,0,0,0
1268319305,inf,0,0,0,0,0
1269320288,inf,0,0,0,0,0
1270326283,inf,0,0,0,0,0
1271345147,inf,0,0,0,0,0
1272357716,inf,0,0,0,0,0
1273367293,inf,0,0,0,0,0
1274385321,inf,0,0,0,0,0
1275386718,inf,0,0,0,0,0
1276395323,inf,0,0,0,0,0
1276499268,inf,0,0,0,0,1
1276869414,inf,0,0,1,0,1
1277141864,inf,0,0,0,1,1
1277477332,inf,1,0,0,0,1
1278478260,inf,1,0,0,0,1
1279489620,inf,1,0,0,0,1
1280498266,inf,1,0,0,0,1
1281500262,inf,1,0,0,0,1
1282507549,inf,1,0,0,0,1
